country_code,reference_year,total_current_expenditure(PPP),total_current_revenues(PPP),total_academic_staff(FTE),total_staff_(FTE),total_students_enrolled_ISCED_5-7,total_graduates_ISCED_5-7,total_students_enrolled_at_ISCED_8,total_graduates_at_ISCED_8,erasmus_total_incoming_students,erasmus_total_outgoing_students,total_core_budget(PPP),student_fees_funding(PPP),total_third_party_funding(PPP),share_of_women_academic_staff,share_of_women_students_ISCED_5-7,PhD_intensity,share_of_foreigners_students_ISCED_5-7
GR,2016,0.0,0.0,364.06382978723406,0.0,14999.340425531915,1425.276595744681,610.1702127659574,39.8936170212766,81.55319148936171,123.42553191489361,0.0,0.0,0.0,0.26693124985957445,0.39634005581702136,0.014037414052936169,0.013840924315553196
HR,2011,0.0,0.0,366.55937500000016,0.0,4692.03125,1159.5,101.09375,33.5,9.03125,27.4375,0.0,0.0,0.0,0.41688992468437497,0.4827263184637501,0.004824395186562499,0.0
HR,2012,0.0,0.0,355.57575757575773,0.0,4812.939393939394,1154.3030303030303,110.06060606060606,40.54545454545455,16.0,33.96969696969697,0.0,0.0,0.0,0.43369742661212124,0.48778790539393935,0.006635902812727273,0.0
HR,2013,0.0,0.0,324.99722222222215,0.0,4477.694444444444,990.3888888888889,89.41666666666667,23.02777777777778,21.61111111111111,38.72222222222222,0.0,0.0,0.0,0.41989337121111125,0.4731925706572222,0.0033227259159166666,0.00436296952625
HR,2014,0.0,0.0,311.1621621621621,0.0,4260.810810810811,920.8378378378378,84.5945945945946,23.10810810810811,44.7027027027027,50.83783783783784,0.0,0.0,0.0,0.4334299406594595,0.4970866231664866,0.004625802106216216,0.0056662812181891885
HR,2015,0.0,0.0,315.24864864864867,0.0,4252.675675675676,944.1891891891892,85.32432432432432,23.7027027027027,56.54054054054054,53.83783783783784,0.0,0.0,0.0,0.44375212701081085,0.5027470161364864,0.00326512153527027,0.004700655411054053
HR,2016,0.0,0.0,318.3675675675676,0.0,4333.540540540541,893.8918918918919,89.48648648648648,17.37837837837838,62.189189189189186,56.16216216216216,0.0,0.0,0.0,0.4497526474027027,0.5063615495108107,0.0029036590756756756,0.007117347219216216
HU,2011,55543863.398753844,61267293.66418461,326.53846153846155,884.5769230769231,6700.75,1157.1153846153845,138.46153846153845,23.673076923076923,61.26923076923077,83.0576923076923,14466893.285001157,1033734.6757619233,24229664.345782153,0.3470940692713462,0.5254093882846154,0.013189812362442306,0.06700716615236538
HU,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6923076923077,84.07692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,2013,53671149.098875,66552774.19916924,340.5923076923076,870.7269230769228,5978.673076923077,1279.826923076923,140.05769230769232,14.73076923076923,78.51923076923077,77.17307692307692,32395231.75025095,1204476.4430496152,7367397.879092223,0.4007988158923077,0.5108584105730769,0.005334644377269231,0.06154179807288462
