ETER_ID,institution_name,English Institution Name,reference_year,country_code,latitude,longitude,total_current_expenditure_PPP,basic_government_allocation_PPP,private_third_party_funding_PPP,total_current_revenues_PPP,total_academic_staff_FTE,total_students_enrolled_ISCED_5-7,total_students_enrolled_ISCED_8,ReD_expenditure_PPP,erasmus_incoming_students_ISCED_5,erasmus_incoming_students_ISCED_6,erasmus_incoming_students_ISCED_7,erasmus_incoming_students_ISCED_8,erasmus_incoming_staff,TOTAL_ISCED8 ,staff_to_student_ratio,doctorate_to_stundents_ratio,doctorate_to_accademic_staff,research_income,proportion_of_international_students,proportion_international_staff
BE0039,Ecole de Recherche Graphique (E.R.G.),,2015,BE,"50,822084","4,357101",m,m,m,m,m,m,m,m,0,9,16,0,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0040,Ecole nationale supérieure des arts visuels de La Cambre,,2015,BE,"50,8178008","4,3751015",m,m,m,m,m,m,m,m,0,6,12,0,2,25,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0041,"Ecole Supérieure des Arts de l'Image ""Le 75""",,2015,BE,"50,8446166","4,4399664",m,m,m,m,m,m,m,m,0,5,3,1,1,18,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0042,Ecole Supérieure des Arts Saint-Luc Liège,,2015,BE,"50,643502","5,5849651",m,m,m,m,m,m,m,m,3,26,6,a,0,8,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0043,Ecole Supérieure des Arts Saint-Luc Tournai,,2015,BE,"50,6459841","3,3435667",m,m,m,m,m,m,m,m,a,a,a,a,a,35,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0045,Institut des Arts de Diffusion (IAD),,2015,BE,"50,6690093","4,6016352",m,m,m,m,m,m,m,m,a,a,a,a,a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0046,Institut National Supérieur des Arts du Spectacle et des Techniques de Diffusion (INSAS),,2015,BE,"50,839915","4,3613157",m,m,m,m,m,m,m,m,a,a,a,a,a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0048,Institut Supérieur de Musique et de Pédagogie (I.M.E.P.),,2015,BE,"50,4645146","4,8454983",m,m,m,m,m,m,m,m,0,4,1,1,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0056,Katholieke Universiteit Leuven,KU Leuven,2015,BE,"50,877954","4,700295","797098147,4","354195529,6","178103653,4",931027010,"7085,86",45583,4799,m,5,799,679,66,71,5,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
BE0057,Transnationale Universiteit Limburg,Transnational University Limburg,2015,BE,"50,908246","5,406091",xr,xr,xr,xr,xr,1712,132,m,a,4,1,1,0,1483,"0,1554496194","0,1052804774","6,432952387","0,000007610799605","0,000109690016","0,01001995523"
