institution_name,ETER_ID,reference_year,country_code,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
Université de Savoie Mont Blanc,FR0170,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École d'ingénieur de la ville de Paris,FR0171,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Faculté Libre de Droit. d’Economie et de Gestion,FR0172,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
Université Paris-Dauphine,FR0173,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université Paris 1 - Panthéon Sorbonne,FR0174,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université Panthéon-Assas,FR0175,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université Sorbonne Nouvelle - Paris 3,FR0176,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université Paris Descartes,FR0178,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université Paris Diderot,FR0180,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Paris-Malaquais,FR0181,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'architecture de Paris-La Villette,FR0182,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'architecture de Paris-Belleville,FR0183,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Groupe ESPI École supérieure des professions immobilières,FR0184,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'arts et métiers,FR0185,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de chimie de Paris,FR0186,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Institut de physique du globe,FR0187,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure de physique et de chimie industrielles de la ville de Paris,FR0188,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Institut d'études politiques de Paris,FR0189,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École normale supérieure de Paris,FR0190,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Institut des sciences et industries du vivant et de l'environnement,FR0191,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure des arts décoratifs,FR0192,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Conservatoire national des arts et métiers,FR0193,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale des Chartes,FR0194,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Collège de France,FR0195,2017,FR,0.4,0.0,0.0,0.0,0.0,0.0,7.0
École pratique des hautes études,FR0196,2017,FR,0.5,0.0,0.0,1.0,0.0,0.2,7.0
Institut national des langues et civilisations orientales,FR0197,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École du Louvre,FR0198,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure des mines de Paris,FR0199,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Muséum national d'histoire naturelle,FR0200,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Conservatoire national supérieur de musique et de danse de Paris,FR0201,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Observatoire de Paris,FR0202,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Télécom ParisTech,FR0203,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut Catholique de Paris,FR0204,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur d'électronique de Paris,FR0205,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'informatique. électronique. automatique,FR0206,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure des beaux-arts,FR0207,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École des hautes études en sciences sociales,FR0208,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École centrale d'électronique,FR0209,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'architecture de Paris-Val de Seine,FR0210,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure de création industrielle,FR0211,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École de formation professionnelle des barreaux de la cour d'appel de Paris,FR0212,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
Centre des études supérieures industrielles,FR0213,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut catholique d'arts et métiers,FR0214,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Pôle supérieur d’enseignement artistique Paris Boulogne-Billancourt,FR0215,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure d'architecture de Normandie,FR0216,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Institut national des sciences appliquées de Rouen,FR0217,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de Rouen,FR0218,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'ingénieurs en génie électrique,FR0219,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université du Havre,FR0220,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École des officiers de la gendarmerie nationale,FR0222,2017,FR,0.6,0.0,7.0,0.0,0.0,0.0,7.0
Université Paris-Est Marne-la-Vallée,FR0223,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École nationale des ponts et chaussées,FR0224,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École d'architecture de la ville et des territoires à Marne-la-Vallée,FR0225,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
Université Paris-Est,FR0226,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d’architecture de Versailles,FR0227,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École des beaux-arts de Versailles,FR0228,2017,FR,0.8,0.0,0.0,0.0,0.0,0.0,7.0
Université de Versailles Saint-Quentin-en-Yvelines,FR0229,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université d'Amiens,FR0230,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École Supérieure d'Ingénieurs en Électronique et Électrotechnique Amiens,FR0231,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure des mines d'Albi-Carmaux,FR0232,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut national universitaire Jean-François-Champollion,FR0233,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université de Toulon,FR0234,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut supérieur de l'électronique et du numérique Toulon,FR0235,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université d'Avignon et des Pays de Vaucluse,FR0236,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Institut catholique d'études supérieures,FR0237,2017,FR,0.5,0.0,7.0,0.0,0.0,0.2,7.0
École nationale supérieure de mécanique et d'aérotechnique de Poitiers,FR0238,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de Poitiers,FR0239,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université de Limoges,FR0240,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École nationale supérieure de céramique industrielle de Limoges,FR0241,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Institut d'ingénierie informatique de Limoges,FR0242,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université de technologie de Belfort-Montbéliard,FR0243,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Institut d'Optique Graduate School,FR0244,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université Paris-Sud,FR0245,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École polytechnique,FR0247,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Télécom SudParis,FR0248,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
Université d'Évry-Val d'Essonne,FR0249,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Télécom École de Management,FR0250,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure d'informatique pour l'industrie et l'entreprise,FR0251,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de techniques avancées,FR0252,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
EPF - École d'ingénieurs,FR0253,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure du pétrole et des moteurs,FR0254,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Université Paris Nanterre,FR0255,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
École Nationale de la Statistique et de l’Administration Économique,FR0257,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure des techniques aéronautiques et de construction automobile,FR0258,2017,FR,0.6,0.0,0.0,0.0,0.0,0.0,7.0
École supérieure d'ingénieurs Léonard-de-Vinci,FR0259,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure maritime,FR0260,2017,FR,0.7,0.0,0.0,0.0,0.0,0.0,7.0
Institut supérieur de mécanique de Paris,FR0261,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
Université Paris 13 - Paris Nord,FR0262,2017,FR,0.6,1.0,0.0,0.0,0.0,0.2,7.0
Université Paris 8 - Vincennes - Saint-Denis,FR0263,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École Supérieure d'Ingénieurs en Électronique et Électrotechnique Paris,FR0264,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École normale supérieure Paris-Saclay,FR0265,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
Université Paris-Est Créteil Val-de-Marne,FR0266,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École d'ingénieur généraliste en informatique et technologies du numérique,FR0267,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
ESME Sudria,FR0268,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École supérieure d'ingénieurs des travaux de la construction de Cachan,FR0269,2017,FR,0.5,0.0,0.0,0.0,0.0,0.2,7.0
École pour l'informatique et les techniques avancées,FR0270,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
Institut polytechnique des sciences avancées,FR0271,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
École spéciale des travaux publics. du bâtiment et de l'industrie,FR0272,2017,FR,0.5,1.0,0.0,0.0,0.0,0.2,7.0
École nationale supérieure de l'électronique et de ses applications de Cergy,FR0273,2017,FR,0.4,0.0,0.0,0.0,0.0,0.2,7.0
École internationale des sciences du traitement de l'information,FR0274,2017,FR,0.6,0.0,0.0,0.0,0.0,0.2,7.0
