ETER_ID,reference_year,missing_perc,zero_value,c_value,s_value,nc_value,cons_perc,timeillnes_occ
RS,2011,0.6641025641025636,0.0,0.0,0.0,0.0,0.0717948717948718,6.0
RS,2012,0.6624999999999995,0.0,0.0,0.0,0.0,0.07500000000000001,5.975
RS,2013,0.5124999999999997,0.45,0.0,0.25,0.0,0.15000000000000002,5.975
RS,2014,0.517073170731707,0.2682926829268293,0.0,0.3170731707317073,0.0,0.14634146341463417,5.902439024390244
RS,2015,0.5652173913043476,0.15217391304347827,0.0,0.17391304347826086,0.0,0.1043478260869565,5.478260869565218
RS,2016,0.30000000000000027,0.2608695652173913,0.0,0.2608695652173913,0.0,0.30000000000000027,5.478260869565218
SE,2011,1.0,2.8974358974358974,0.0,0.7692307692307693,0.0,0.9717948717948716,5.769230769230769
SE,2012,1.0,2.4871794871794872,0.0,0.5384615384615384,0.0,0.9692307692307691,5.769230769230769
SE,2013,0.9775,2.375,0.0,0.75,0.0,0.95,5.725
SE,2014,1.0,4.027027027027027,0.0,1.0810810810810811,0.0,0.9864864864864865,5.945945945945946
SE,2015,1.0,4.108108108108108,0.0,0.6756756756756757,0.0,0.981081081081081,5.945945945945946
SE,2016,1.0,4.027027027027027,0.0,0.7297297297297297,0.0,0.9891891891891891,5.945945945945946
SI,2011,0.6999999999999995,1.1538461538461537,0.0,0.0,0.0,0.05897435897435898,6.0
SI,2012,0.6999999999999995,1.0731707317073171,0.0,0.0,0.0,0.06829268292682929,5.951219512195122
SI,2013,0.6999999999999995,0.8181818181818182,0.0,0.0,0.0,0.08181818181818186,5.818181818181818
SI,2014,0.31875000000000026,1.8958333333333333,0.0,0.0,0.0,0.29791666666666655,5.583333333333333
